word,antonym,tier
solution,problem,1
somehow,straightforwardly,1
someone,nobody,1
something,nothing,1
soothe,agitate,1
sorrow,joy,1
sorrowful,joyful,1
south,north,1
sparse,dense,1
speak,silence,1
specific,general,1
speed,slow,1
spend,save,1
splendid,drab,1
spring,autumn,1
stable,unstable,1
stale,fresh,1
stand,sit,1
start,stop,1
stingy,generous,1
stop,start,1
straight,curved,1
strength,weakness,1
strengthen,weaken,1
stressed,relaxed,1
strong,weak,1
student,teacher,1
stupid,intelligent,1
subjective,objective,1
succeed,fail,1
success,failure,1
successful,unsuccessful,1
succumb,prevail,1
sudden,gradual,1
sufficient,insufficient,1
summer,winter,1
summon,dismiss,1
sunrise,sunset,1
sunset,sunrise,1
superior,inferior,1
support,oppose,1
sure,unsure,1
surrender,defend,1
sweet,bitter,1
swift,sluggish,1
take,give,1
tall,short,1
tame,wild,1
teach,learn,1
teacher,student,1
tedious,entertaining,1
temporary,permanent,1
tense,relaxed,1
thaw,freeze,1
then,now,1
there,here,1
thick,thin,1
thin,thick,1
thorough,sloppy,1
thrive,languish,1
tidy,untidy,1
tie,untie,1
tight,loose,1
tighten,loosen,1
timely,untimely,1
timid,bold,1
tiny,huge,1
today,yesterday,1
together,apart,1
tolerant,intolerant,1
tomorrow,yesterday,1
top,bottom,1
torment,comfort,1
total,partial,1
tranquil,turbulent,1
treasure,discard,1
triumph,defeat,1
trivial,serious,1
true,false,1
truly,falsely,1
trust,distrust,1
trustworthy,untrustworthy,1
truth,lie,1
turbulent,tranquil,1
ugly,beautiful,1
uncertain,confident,1
uncertainly,certainly,1
uncover,cover,1
under,over,1
understand,misunderstand,1
understate,exaggerate,1
undisciplined,disciplined,1
unethical,ethical,1
unfair,fair,1
unfairly,fairly,1
unfaithful,faithful,1
unfamiliar,familiar,1
unimportant,important,1
unite,divide,1
unjust,just,1
unjustly,justly,1
unknown,known,1
unlock,lock,1
unofficial,official,1
unproductive,productive,1
unreasonable,reasonable,1
unreliable,reliable,1
unskilled,skilled,1
unstable,stable,1
unsuccessful,successful,1
unsure,sure,1
untidy,tidy,1
untie,tie,1
untimely,timely,1
untrustworthy,trustworthy,1
unusually,usually,1
unwillingly,willingly,1
unworthy,worthy,1
up,down,1
uproot,plant,1
upward,downward,1
urban,rural,1
useful,useless,1
useless,useful,1
usually,unusually,1
vaguely,definitely,1
variable,constant,1
vast,minute,1
verbose,concise,1
vibrant,dull,1
vice,virtue,1
victory,defeat,1
villain,hero,1
violent,peaceful,1
virtue,vice,1
virtuous,sinful,1
visible,invisible,1
vivid,dull,1
wake,sleep,1
war,peace,1
warm,cool,1
wasn't,was,1
waste,earn,1
weak,strong,1
weaken,strengthen,1
weakness,strength,1
wealth,poverty,1
wealthy,poor,1
welcome,reject,1
well,badly,1
weren't,were,1
west,east,1
wet,dry,1
white,black,1
whole,partial,1
wicked,righteous,1
wide,narrow,1
widen,narrow,1
wild,tame,1
willingly,unwillingly,1
wilt,bloom,1
win,lose,1
winter,summer,1
wisdom,folly,1
wise,foolish,1
withdraw,advance,1
wither,flourish,1
witty,dull,1
won't,will,1
work,play,1
worse,better,1
worsen,improve,1
worst,best,1
worthy,unworthy,1
wouldn't,would,1
wound,heal,1
write,erase,1
wrong,right,1
wrongly,rightly,1
yes,no,1
yesterday,tomorrow,1
young,old,1
youth,age,1
a-la-carte,table-d'hote,2
a-posteriori,a-priori,2
a-priori,a-posteriori,2
abactinal,actinal,2
abaxial,adaxial,2
abaxially,adaxially,2
abducent,adducent,2
abduct,adduct,2
abience,adience,2
abient,adient,2
ability,inability,2
able,unable,2
abnormality,normality,2
abolish,establish,2
aborad,orad,2
aboral,oral,2
abranchiate,branchiate,2
abridged,unabridged,2
abruptness,gradualness,2
absence,presence,2
absent,present,2
absolute,relative,2
absolve,blame,2
absorbable,adsorbable,2
absorbency,nonabsorbency,2
absorbent,nonabsorbent,2
abstain,consume,2
abstemious,gluttonous,2
abstractly,concretely,2
abstractness,concreteness,2
abused,unabused,2
acarpelous,carpellate,2
acatalectic,catalectic,2
acaudate,caudate,2
acaulescent,caulescent,2
acceleration,deceleration,2
accentual,quantitative,2
acceptability,unacceptability,2
acceptable,unacceptable,2
acceptably,unacceptably,2
acceptance,rejection,2
acceptive,rejective,2
accessibility,inaccessibility,2
accessible,inaccessible,2
accidentally,deliberately,2
accommodating,unaccommodating,2
accompanied,unaccompanied,2
accordant,discordant,2
accrual-basis,cash-basis,2
accuracy,inaccuracy,2
accurate,inaccurate,2
accurately,inaccurately,2
accusatorial,inquisitorial,2
accustomed,unaccustomed,2
achiever,loser,2
achlamydeous,chlamydeous,2
achondritic,chondritic,2
achromatic,chromatic,2
achromatic-color,chromatic-color,2
achromatinic,chromatinic,2
acid-loving,alkaline-loving,2
acidic,alkaline,2
acidify,alkalize,2
acidity,alkalinity,2
acknowledged,unacknowledged,2
acquaintance,stranger,2
acquisitive,unacquisitive,2
acquit,convict,2
acquittal,conviction,2
acrocarp,pleurocarp,2
acrocarpous,pleurocarpous,2
acropetal,basipetal,2
acroscopic,basiscopic,2
act,refrain,2
actable,unactable,2
actinal,abactinal,2
actinomorphic,zygomorphic,2
action,inaction,2
activation,deactivation,2
activator,inhibitor,2
active-trust,passive-trust,2
active-voice,passive-voice,2
actively,passively,2
activeness,inactiveness,2
activity,inactivity,2
actual,potential,2
actual-sin,original-sin,2
acute,chronic,2
acutely,chronically,2
acuteness,obtuseness,2
acyclic,cyclic,2
adaptability,unadaptability,2
adaptable,unadaptable,2
adaptive,maladaptive,2
adaxial,abaxial,2
adaxially,abaxially,2
addicted,unaddicted,2
addictive,nonaddictive,2
addition,subtraction,2
additive,subtractive,2
addressed,unaddressed,2
adducent,abducent,2
adduct,abduct,2
adequacy,inadequacy,2
adequately,inadequately,2
adhesive,nonadhesive,2
adiabatic,diabatic,2
adience,abience,2
adient,abient,2
adjective,substantive,2
adjusted,unadjusted,2
admire,look-down-on,2
admissibility,inadmissibility,2
admissible,inadmissible,2
admit,deny,2
adnate,connate,2
adoptable,unadoptable,2
adopted,native,2
adoptive,biological,2
adorned,unadorned,2
adroit,maladroit,2
adroitly,maladroitly,2
adscript,superscript,2
adsorbable,absorbable,2
adsorbent,nonadsorbent,2
adult,juvenile,2
adulterating,purifying,2
advantage,disadvantage,2
advantageous,disadvantageous,2
advantageously,disadvantageously,2
adventurous,unadventurous,2
advertently,inadvertently,2
advisability,inadvisability,2
advisable,inadvisable,2
aerobic,anaerobic,2
aesthetic,inaesthetic,2
aestivate,hibernate,2
afebrile,febrile,2
affected,unaffected,2
affectedness,unaffectedness,2
afferent,efferent,2
affinity,consanguinity,2
affirmation,reversal,2
affirmative,negative,2
affixed,unaffixed,2
afloat,aground,2
afraid,unafraid,2
aft,fore,2
aged,young,2
aggrade,degrade,2
aggressive,unaggressive,2
agitation,calmness,2
agnostic,gnostic,2
agonist,antagonist,2
agreeable,disagreeable,2
agreeableness,disagreeableness,2
agreeably,disagreeably,2
agreement,disagreement,2
aground,afloat,2
ahistorical,historical,2
air-mail,surface-mail,2
air-to-air,surface-to-air,2
air-to-surface,air-to-air,2
airworthy,unairworthy,2
alarming,unalarming,2
alcoholic,nonalcoholic,2
alert,unalert,2
algorithmic,heuristic,2
alienable,inalienable,2
align,skew,2
aligned,nonaligned,2
alignment,nonalignment,2
alike,unalike,2
aliquant,aliquot,2
aliquot,aliquant,2
alkaline,amphoteric,2
alkaline-loving,acid-loving,2
alkalinity,acidity,2
alkalize,acidify,2
all,no,2
allochthonous,autochthonous,2
allogamy,autogamy,2
allogeneic,xenogeneic,2
allopathic,homeopathic,2
allopathy,homeopathy,2
allopatric,sympatric,2
allopatry,sympatry,2
alphabetic,analphabetic,2
alterability,unalterability,2
alterable,unalterable,2
altered,unaltered,2
alternate,opposite,2
alternating,direct,2
alternating-current,direct-current,2
altricial,precocial,2
altruism,egoism,2
altruistic,egoistic,2
amateurishly,expertly,2
ambidextrous,right-handed,2
ambiguity,unambiguity,2
ambiguous,unambiguous,2
ambiguously,unambiguously,2
ambitious,unambitious,2
ambitiously,unambitiously,2
ambiversion,extraversion,2
ambiversive,introversive,2
amended,unamended,2
ametabolic,metabolic,2
ametropic,emmetropic,2
amicable,hostile,2
amphibious,aquatic,2
amphitropous,anatropous,2
amphoteric,alkaline,2
ample,meager,2
amply,meagerly,2
anabatic,katabatic,2
anabolic,catabolic,2
anabolism,catabolism,2
anaclinal,cataclinal,2
anadromous,catadromous,2
anaerobic,aerobic,2
anal,oral,2
analogous,homologous,2
analogue,digital,2
analphabetic,alphabetic,2
analysis,synthesis,2
analytic,synthetic,2
analyze,synthesize,2
analyzed,unanalyzed,2
anamorphism,katamorphism,2
anaphrodisia,aphrodisia,2
anaphrodisiac,aphrodisiac,2
anapsid,diapsid,2
anastalsis,peristalsis,2
anastigmatic,astigmatic,2
anatropous,amphitropous,2
androgynous,female,2
anemophilous,entomophilous,2
anesthetize,bring-to,2
anestrous,estrous,2
anestrus,estrus,2
anglican,nonconformist,2
anglophilia,anglophobia,2
anglophobia,anglophilia,2
angry,unangry,2
angular,rounded,2
angularity,roundness,2
anhydrous,hydrous,2
animate,inanimate,2
animated,unanimated,2
animateness,inanimateness,2
anionic,cationic,2
anisotropic,isotropic,2
anisotropy,isotropy,2
anode,cathode,2
anodic,cathodic,2
anonymous,onymous,2
anovulation,ovulation,2
antagonist,synergist,2
antagonistic,synergistic,2
antapex,apex,2
antecedent,subsequent,2
antemeridian,postmeridian,2
antemortem,postmortem,2
anterior,posterior,2
anteriority,posteriority,2
anterograde,retrograde,2
anti,pro,2
anti-american,pro-american,2
anticatalyst,catalyst,2
anticholinergic,cholinergic,2
anticlimactic,climactic,2
anticlinal,synclinal,2
anticyclone,cyclone,2
antimagnetic,magnetic,2
antinode,node,2
antipyretic,pyretic,2
antiseptic,septic,2
antitype,type,2
antonym,synonym,2
antonymous,synonymous,2
antrorse,retrorse,2
aperiodic,periodic,2
apetalous,petalous,2
apex,antapex,2
aphelion,perihelion,2
aphrodisia,anaphrodisia,2
aphrodisiac,anaphrodisiac,2
aplacental,placental,2
apoapsis,periapsis,2
apocarpous,syncarpous,2
apocrine,eccrine,2
apogee,perigee,2
apojove,perijove,2
apologetic,unapologetic,2
apolune,perilune,2
apophatism,cataphatism,2
aposelene,periselene,2
appealable,unappealable,2
appealing,unappealing,2
appealingly,unappealingly,2
appearance,disappearance,2
appendaged,unappendaged,2
appetizing,unappetizing,2
appetizingness,unappetizingness,2
applaud,boo,2
applicability,inapplicability,2
applied,theoretical,2
appointive,elective,2
appositeness,inappositeness,2
appreciate,depreciate,2
appreciation,depreciation,2
appreciatively,unappreciatively,2
approachability,unapproachability,2
approachable,unapproachable,2
approbate,reprobate,2
approbation,disapprobation,2
appropriate,inappropriate,2
appropriately,inappropriately,2
appropriateness,inappropriateness,2
approval,disapproval,2
approvingly,disapprovingly,2
apropos,malapropos,2
apteral,peripteral,2
aptitude,inaptitude,2
aptness,inaptness,2
aquatic,terrestrial,2
aqueous,igneous,2
arabic-numeral,roman-numeral,2
arbitrable,nonarbitrable,2
arbitrary,nonarbitrary,2
arboreal,nonarboreal,2
arenaceous,argillaceous,2
argillaceous,arenaceous,2
argumentative,unargumentative,2
arianism,athanasianism,2
arise,sit-down,2
arm,disarm,2
armament,disarmament,2
armed,unarmed,2
arming,disarming,2
armless,armed,2
armored,unarmored,2
arrange,disarrange,2
arranged,disarranged,2
artesian,subartesian,2
artful,artless,2
artfulness,artlessness,2
articulate,inarticulate,2
articulated,unarticulated,2
articulately,inarticulately,2
artifact,natural-object,2
artificial-language,natural-language,2
artificially,naturally,2
artless,artful,2
artlessness,artfulness,2
ascending,descending,2
ascending-node,descending-node,2
ascent,descent,2
asexual,sexual,2
ashamedly,unashamedly,2
assembly,disassembly,2
assent,dissent,2
assertive,unassertive,2
assertively,unassertively,2
asset,liability,2
assigned,unassigned,2
assimilate,dissimilate,2
assisted,unassisted,2
associate,dissociate,2
association,disassociation,2
associative,nonassociative,2
assortative-mating,disassortative-mating,2
astigmatic,anastigmatic,2
astigmatism,stigmatism,2
astomatous,stomatous,2
astringent,nonastringent,2
asymmetrical,symmetrical,2
asymmetrically,symmetrically,2
asymmetry,symmetry,2
asynchronism,synchronism,2
asynchronous,synchronous,2
asynchronous-operation,synchronous-operation,2
asyndetic,syndetic,2
at-best,at-worst,2
at-least,at-most,2
at-most,at-least,2
at-the-least,at-the-most,2
at-the-most,at-the-least,2
at-worst,at-best,2
athanasianism,arianism,2
atheism,theism,2
atomism,holism,2
atomistic,holistic,2
atonal,tonal,2
atonality,tonality,2
atonic,tonic,2
atonicity,tonicity,2
atrophied,hypertrophied,2
attachable,detachable,2
attached,unattached,2
attend,miss,2
attend-to,neglect,2
attendance,nonattendance,2
attention,inattention,2
attentive,inattentive,2
attentiveness,inattentiveness,2
attraction,repulsion,2
attractively,unattractively,2
attractiveness,unattractiveness,2
attributable,unattributable,2
attributive,predicative,2
atypical,typical,2
atypicality,typicality,2
atypically,typically,2
audibility,inaudibility,2
audible,inaudible,2
audibly,inaudibly,2
augmentation,diminution,2
aunt,uncle,2
auspicious,inauspicious,2
auspiciously,inauspiciously,2
auspiciousness,inauspiciousness,2
authorized,unauthorized,2
autochthonous,allochthonous,2
autoecious,heteroecious,2
autogamous,endogamous,2
autogamy,allogamy,2
autogenous,heterogenous,2
autologous,homologous,2
automatic,manual,2
autotrophic,heterotrophic,2
autumnal,wintry,2
autumnal-equinox,vernal-equinox,2
